"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1987-01","1987","01","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1987-02","1987","02","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1987-03","1987","03","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1987-04","1987","04","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1987-05","1987","05","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1987-06","1987","06","","M","","M","","M","","M","","M","","M","0.0","","","M","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1987-07","1987","07","23.2","","6.9","","15.1","","33.5","","0.5","","61.6","","0.0","","61.6","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1987-08","1987","08","21.5","","3.8","","12.7","","29.5","","-3.0","","23.0","","0.0","","23.0","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1987-09","1987","09","21.8","","0.7","","11.3","","30.0","","-5.5","","2.2","","0.0","","2.2","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1987-10","1987","10","14.0","","-3.7","","5.2","","27.5","","-11.0","","8.8","","0.0","T","8.8","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1987-11","1987","11","4.9","","-3.4","","0.8","","13.0","","-17.5","","12.0","","12.6","","24.6","","5","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1987-12","1987","12","-1.0","","-9.3","","-5.2","","10.5","","-22.0","","0.2","","31.0","","31.2","","18","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1988-01","1988","01","-3.9","","-14.1","","-9.0","","9.0","","-34.0","","0.4","","13.6","","14.0","","13","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1988-02","1988","02","1.7","","-10.2","","-4.3","","11.5","","-35.0","","7.2","","27.6","","34.8","","10","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1988-03","1988","03","7.0","E","-4.7","E","1.2","E","","M","","M","","M","","M","","M","","M","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1988-04","1988","04","14.4","E","-1.8","E","6.3","E","24.0","","","M","24.4","E","4.8","E","29.2","E","","M","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1988-05","1988","05","16.7","","0.8","","8.8","","29.0","","-7.5","","28.2","","0.0","T","28.2","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1988-06","1988","06","20.5","","4.4","","12.5","","29.5","","-1.5","","22.2","","0.0","","22.2","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1988-07","1988","07","23.5","","5.8","","14.7","","32.5","","0.5","","49.6","","0.0","","49.6","","0","","","","",""
