"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1988-08","1988","08","","M","","M","","M","","M","","M","56.7","E","0.0","","56.7","E","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1988-09","1988","09","17.4","","1.1","","9.3","","35.0","","-6.0","","64.0","","0.2","","64.2","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1988-10","1988","10","13.8","","-1.0","","6.4","","25.0","S","-10.5","","25.2","E","0.6","E","25.8","E","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1988-11","1988","11","4.3","","-4.0","","0.2","","10.5","","-11.0","S","16.4","","9.0","","25.4","","0","T","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1988-12","1988","12","-2.0","","-9.7","","-5.9","","8.5","","-27.0","","3.1","E","53.1","E","56.2","E","28","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1989-01","1989","01","-1.8","","-12.5","","-7.2","","9.0","","-29.0","","0.2","","24.6","E","24.8","E","21","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1989-02","1989","02","-5.3","","-19.1","","-12.2","","8.0","","-37.0","S","0.6","","28.2","","28.8","","31","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1989-03","1989","03","4.5","","-9.2","","-2.4","","","M","","M","4.2","","5.0","E","9.2","E","","M","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1989-04","1989","04","14.2","","-3.7","E","5.3","E","23.0","","-9.5","","9.8","","21.6","","31.4","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1989-05","1989","05","17.3","","0.3","","8.8","","26.0","","-4.5","","43.6","","0.0","T","43.6","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1989-06","1989","06","21.6","","4.8","","13.2","","29.0","","0.5","S","36.2","","0.0","","36.2","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1989-07","1989","07","23.8","E","5.5","E","14.7","E","31.0","S","0.0","E","65.8","E","0.0","","65.8","E","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1989-08","1989","08","","M","","M","","M","","M","","M","123.0","E","0.0","","123.0","E","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1989-09","1989","09","19.3","","0.8","","10.1","","25.5","","-6.0","","7.0","","0.0","T","7.0","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1989-10","1989","10","11.0","","-0.9","","5.1","","18.5","","-9.0","","38.2","","2.2","","40.4","","","M","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1989-11","1989","11","2.5","","-6.2","","-1.9","","12.0","","-15.0","","40.4","E","35.0","E","75.4","E","10","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1989-12","1989","12","-0.5","","-6.9","","-3.7","","6.5","S","-24.0","","4.8","","84.8","","89.6","","46","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1990-01","1990","01","-1.3","","-11.5","","-6.4","","7.0","","-38.5","","0.2","","41.8","","42.0","","52","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1990-02","1990","02","-1.0","","-14.6","","-7.8","","7.5","","-38.0","","0.8","","22.0","","22.8","","41","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1990-03","1990","03","8.9","E","-8.1","E","0.4","E","","M","","M","3.2","E","9.2","E","12.4","E","8","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1990-04","1990","04","13.1","","-2.5","","5.3","","20.5","","-8.5","","25.2","E","6.4","E","31.6","E","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1990-05","1990","05","15.6","","2.0","","8.8","","","M","","M","52.0","","1.2","","53.2","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1990-06","1990","06","19.2","","5.4","","12.3","","29.0","","-1.5","","93.8","","0.0","","93.8","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1990-07","1990","07","25.3","E","6.6","E","16.0","E","","M","","M","71.0","E","0.0","","71.0","E","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1990-08","1990","08","","M","6.7","E","","M","","M","","M","14.4","E","0.0","","14.4","E","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1990-09","1990","09","21.4","","-0.1","","10.7","","27.5","","-6.0","S","8.4","","0.0","","8.4","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1990-10","1990","10","8.9","","-2.8","","3.1","","18.5","","-11.5","","35.8","","9.4","","45.2","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1990-11","1990","11","1.6","","-7.3","","-2.9","","17.5","","-21.5","","6.2","E","38.8","E","45.0","E","12","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1990-12","1990","12","-6.2","","-15.5","","-10.9","","5.5","S","-45.0","","0.8","","85.0","","85.8","","58","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1991-01","1991","01","-7.1","","-18.4","","-12.8","","6.5","","-41.5","","1.8","","21.2","","23.0","","45","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1991-02","1991","02","6.3","","-3.4","","1.5","","10.5","S","-10.5","","6.6","","5.0","","11.6","","11","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1991-03","1991","03","3.4","E","-10.5","E","-3.6","E","16.0","E","-25.5","E","0.0","T","37.0","","37.0","","","M","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1991-04","1991","04","14.4","E","-3.8","E","5.3","E","22.0","E","-9.5","E","1.4","","9.4","","10.8","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1991-05","1991","05","17.5","","0.4","","9.0","","25.5","","-7.5","","26.4","","0.0","","26.4","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1991-06","1991","06","18.2","E","3.6","E","10.9","E","24.0","E","-1.5","B","88.0","E","3.0","E","91.0","E","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1991-07","1991","07","22.2","I","6.6","I","14.5","I","31.5","I","1.0","I","53.6","E","0.0","","53.6","E","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1991-08","1991","08","21.4","I","7.6","I","14.3","I","29.5","I","-2.0","I","81.2","E","0.0","","81.2","E","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1991-09","1991","09","18.6","","1.6","","10.1","","25.5","S","-3.0","S","17.4","","0.0","","17.4","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1991-10","1991","10","8.3","E","-6.0","E","1.2","E","25.5","E","-23.5","E","10.6","","37.8","E","48.4","E","16","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1991-11","1991","11","2.9","","-5.8","","-1.5","","10.0","","-21.5","","14.6","","49.0","","63.6","","25","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1991-12","1991","12","1.1","","-9.5","","-4.2","","8.0","","-22.5","","1.0","","19.6","","20.6","","27","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1992-01","1992","01","1.8","","-5.2","","-1.7","","10.0","","-14.0","","3.6","","45.2","","48.8","","33","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1992-02","1992","02","4.5","","-5.7","","-0.6","","10.0","S","-15.0","","4.4","","12.2","","16.6","","28","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1992-03","1992","03","11.4","E","-5.5","E","3.0","E","18.0","E","-11.0","E","6.8","","9.8","","16.6","","3","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1992-04","1992","04","13.0","","-2.2","","5.4","","22.5","","-13.5","","20.4","","16.0","","36.4","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1992-05","1992","05","18.0","","0.1","","9.0","","29.0","","-6.5","","23.2","","3.7","","26.9","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1992-06","1992","06","24.0","E","4.8","E","14.4","E","32.5","B","-4.0","E","20.0","E","0.0","","20.0","E","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1992-07","1992","07","24.0","E","6.5","E","15.3","E","31.5","E","1.0","E","72.2","E","0.0","","72.2","E","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1992-08","1992","08","22.4","I","5.4","I","14.2","I","31.5","I","-4.5","I","25.2","E","0.0","","25.2","E","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1992-09","1992","09","15.3","","2.0","","8.7","","25.0","","-6.0","","34.2","","0.6","","34.8","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1992-10","1992","10","11.3","","-0.4","","5.4","","25.0","","-12.5","","32.8","","2.6","","35.4","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1992-11","1992","11","1.6","","-5.0","","-1.7","","9.0","","-19.5","","24.4","","37.0","","61.4","","7","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1992-12","1992","12","-6.3","","-15.0","","-10.7","","2.0","","-33.0","","0.0","","85.4","","85.4","","43","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1993-01","1993","01","-8.3","","-19.8","","-14.1","","7.5","","-35.0","S","0.0","","42.0","","42.0","","43","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1993-02","1993","02","-0.8","","-14.6","","-7.7","","9.5","","-31.5","","0.0","","9.4","","9.4","","48","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1993-03","1993","03","6.9","E","-7.1","E","-0.1","E","12.0","B","-26.0","E","2.4","","10.0","E","12.4","E","14","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1993-04","1993","04","11.7","E","-1.2","E","5.3","E","15.0","B","-7.5","E","37.4","E","0.0","T","37.4","E","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1993-05","1993","05","21.2","","4.0","","12.6","","32.0","","-3.5","","39.2","","0.0","T","39.2","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1993-06","1993","06","18.3","","6.0","","12.2","","26.0","","1.0","","99.2","","0.0","","99.2","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1993-07","1993","07","20.0","E","6.5","E","13.3","E","24.0","E","2.0","E","57.0","E","0.0","","57.0","E","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1993-08","1993","08","23.2","I","6.8","I","15.0","I","29.0","I","0.0","I","45.6","","0.0","","45.6","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1993-09","1993","09","19.0","E","0.4","E","9.7","E","27.0","E","-7.5","E","6.2","","0.0","","6.2","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1993-10","1993","10","11.0","","-1.1","","5.0","","23.0","S","-6.0","","41.2","","3.0","","44.2","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1993-11","1993","11","0.4","","-8.4","","-4.0","","8.0","","-30.0","","2.2","","40.8","","43.0","","17","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1993-12","1993","12","-0.1","","-7.6","","-3.9","","8.0","","-21.5","","1.4","","27.0","","28.4","","22","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1994-01","1994","01","0.0","","-6.3","","-3.1","","5.5","","-23.0","","15.0","","42.2","","57.2","","34","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1994-02","1994","02","-3.5","","-13.5","","-8.5","","8.5","","-31.5","","0.4","","32.4","","32.8","","46","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1994-03","1994","03","8.8","","-4.1","","2.3","","19.0","","-13.0","","4.4","","9.6","","14.0","","9","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1994-04","1994","04","13.7","","-0.4","","6.7","","21.0","","-7.5","","37.6","","10.0","","47.6","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1994-05","1994","05","17.3","","2.0","","9.7","","26.5","","-4.0","","33.4","","0.0","","33.4","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1994-06","1994","06","19.5","","5.5","","12.5","","28.5","","-2.0","","61.4","","0.0","","61.4","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1994-07","1994","07","25.7","E","7.5","E","16.6","E","34.0","B","4.0","E","28.2","","0.0","","28.2","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1994-08","1994","08","24.8","I","5.7","I","15.4","I","32.5","I","1.0","I","42.4","E","0.0","","42.4","E","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1994-09","1994","09","20.7","","4.1","","12.4","","27.5","","-2.5","","26.9","","0.0","","26.9","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1994-10","1994","10","10.2","","-1.7","","4.3","","19.5","","-9.0","","17.8","","13.0","","30.8","","8","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1994-11","1994","11","1.4","","-7.1","","-2.9","","8.5","S","-22.0","","0.4","","37.8","","38.2","","19","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1994-12","1994","12","-1.2","","-10.0","","-5.6","","8.0","","-30.0","","0.4","","30.4","","30.8","","20","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1995-01","1995","01","-2.9","","-13.4","","-8.1","","7.0","","-30.0","","6.8","","23.4","","30.2","","24","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1995-02","1995","02","2.3","","-7.6","","-2.6","","13.5","","-24.5","","6.0","","7.6","","13.6","","13","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1995-03","1995","03","6.4","E","-7.8","E","-0.7","I","18.5","E","-26.5","E","3.4","","10.8","","14.2","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1995-04","1995","04","10.9","E","-2.3","E","4.3","E","19.0","E","-8.5","E","37.2","","14.8","","52.0","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1995-05","1995","05","19.0","","1.1","","10.1","","28.0","","-4.5","","44.4","","0.0","T","44.4","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1995-06","1995","06","21.4","","5.6","","13.5","","30.5","","1.0","S","67.2","","0.0","","67.2","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1995-07","1995","07","22.5","E","8.2","E","15.5","I","30.0","E","2.0","E","78.0","","0.0","","78.0","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1995-08","1995","08","17.6","I","7.0","I","12.3","I","27.0","I","2.0","I","100.4","I","0.0","","100.4","I","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1995-09","1995","09","20.7","","1.7","","11.2","","26.0","","-6.0","","16.0","","0.0","","16.0","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1995-10","1995","10","8.9","E","-0.3","E","4.5","E","14.5","E","-8.0","E","38.4","","0.0","T","38.4","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1995-11","1995","11","3.0","","-5.7","","-1.3","","10.0","","-24.0","","17.6","","77.4","","95.0","","16","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1995-12","1995","12","-2.4","","-11.7","","-7.1","","3.0","S","-36.5","","2.8","","44.6","","47.4","","37","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1996-01","1996","01","-9.2","","-19.0","","-14.1","","8.5","S","-41.0","","0.0","T","90.0","","90.0","","60","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1996-02","1996","02","0.9","","-11.9","","-5.5","","9.5","","-34.0","","5.6","","8.0","","13.6","","51","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1996-03","1996","03","4.0","","-8.3","","-2.1","","14.5","","-27.0","","5.8","","25.4","","31.2","","30","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1996-04","1996","04","12.0","E","-1.2","E","5.2","E","20.5","E","-7.5","E","7.8","","5.8","","13.6","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1996-05","1996","05","13.2","","0.4","","6.8","","22.5","","-4.5","","38.8","","21.8","","60.6","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1996-06","1996","06","18.7","","4.3","","11.5","","23.5","","-2.5","","70.8","","0.0","","70.8","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1996-07","1996","07","24.2","E","6.2","E","15.4","E","33.5","E","2.0","B","29.2","","0.0","","29.2","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1996-08","1996","08","22.2","I","5.4","I","13.8","I","28.5","I","1.5","I","55.4","","0.0","","55.4","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1996-09","1996","09","15.0","","3.3","","9.2","","26.5","","-5.5","","76.4","","0.0","","76.4","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1996-10","1996","10","8.5","","-2.0","","3.2","","21.5","","-14.0","","36.0","","13.4","","49.4","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1996-11","1996","11","-2.7","","-8.8","","-5.8","","6.5","","-30.0","","27.8","","66.6","","94.4","","24","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1996-12","1996","12","-8.2","","-17.3","","-12.8","","3.5","","-41.0","","0.0","","66.8","","66.8","","52","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1997-01","1997","01","-2.0","","-10.5","","-6.3","","9.5","","-39.0","","19.6","","28.2","","47.8","","41","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1997-02","1997","02","2.7","","-7.7","","-2.5","","11.5","","-19.0","","10.0","","14.4","","24.4","","36","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1997-03","1997","03","4.4","","-6.4","","-1.0","","15.0","","-24.5","","4.6","","37.0","","41.6","","19","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1997-04","1997","04","10.9","","-3.1","","3.9","","17.5","","-10.0","","20.2","","3.0","","23.2","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1997-05","1997","05","18.2","","2.3","","10.3","","27.5","","-2.5","S","39.8","","0.0","T","39.8","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1997-06","1997","06","19.5","","4.6","","12.0","","26.5","","-1.0","","39.0","","0.0","","39.0","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1997-07","1997","07","21.3","","7.7","","14.5","","30.0","","2.5","","110.2","","0.0","","110.2","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1997-08","1997","08","22.7","I","6.2","I","14.3","I","28.0","I","2.0","I","16.4","","0.0","","16.4","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1997-09","1997","09","19.4","","3.8","","11.6","","27.0","","-1.5","","38.4","","0.0","","38.4","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1997-10","1997","10","9.2","","0.0","","4.6","","16.5","","-8.5","","40.0","","2.0","","42.0","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1997-11","1997","11","3.7","","-4.3","","-0.3","","10.0","","-13.5","","5.0","","7.8","","12.8","","0","T","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1997-12","1997","12","0.9","","-6.6","","-2.9","","7.5","","-15.0","","1.4","","36.6","","38.0","","14","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1998-01","1998","01","-3.5","","-12.5","","-8.0","","9.5","","-37.0","","0.8","","30.8","","31.6","","21","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1998-02","1998","02","5.2","","-4.3","","0.5","","10.0","","-12.0","","1.6","","10.2","","11.8","","11","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1998-03","1998","03","6.5","E","-3.1","E","1.6","I","13.5","E","-15.5","E","12.8","E","13.6","E","26.4","E","0","T","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1998-04","1998","04","12.8","","-1.9","","5.4","","26.0","","-8.0","","14.2","","27.6","","41.8","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1998-05","1998","05","21.1","","3.2","","12.1","","27.0","","-2.0","","42.0","","0.0","","42.0","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1998-06","1998","06","20.8","","6.5","","13.7","","26.0","","0.5","","88.4","","0.0","","88.4","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1998-07","1998","07","24.5","E","10.6","E","17.4","E","33.0","E","2.0","E","62.4","","0.0","","62.4","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1998-08","1998","08","27.0","I","6.2","I","16.6","I","32.5","I","2.0","I","22.6","","0.0","","22.6","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1998-09","1998","09","21.2","","3.4","","12.3","","29.0","","-3.0","S","9.8","","0.0","","9.8","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1998-10","1998","10","11.2","","0.5","","5.8","","18.5","","-7.0","","35.6","","6.0","","41.6","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1998-11","1998","11","3.9","","-2.7","","0.7","","9.0","","-9.0","S","18.2","","5.6","","23.8","","0","T","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1998-12","1998","12","-2.0","","-9.4","","-5.7","","7.0","","-26.0","","2.4","","63.8","","66.2","","31","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1999-01","1999","01","-1.3","","-8.5","","-4.9","","6.5","","-29.0","","47.2","","50.4","","97.6","","43","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1999-02","1999","02","3.4","","-6.3","","-1.5","","8.0","","-23.0","","0.4","","23.4","","23.8","","40","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1999-03","1999","03","6.4","E","-4.1","E","1.3","E","17.0","E","-14.5","E","1.0","","20.4","E","21.4","E","11","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1999-04","1999","04","11.3","","-2.4","","4.5","","24.5","","-8.5","","11.8","","21.4","","33.2","","0","","","","",""
"-121.22","51.68","100 MILE HOUSE 6NE","1165793","1999-05","1999","05","14.3","","0.6","","7.4","","29.0","","-7.0","","69.8","","24.2","","94.0","","0","","","","",""
